cycliste,sportif,age,sexe,nb_km,vitesse,attente
cycliste_azuhc,4,64,homme,8.46387843695,15.0226688269,0.5
cycliste_azqd0,-0.5,28,homme,5.12917388201,29.5451752527,0.5
cycliste_azi23,6,23,femme,8.25321995247,27.5620795211,0.5
cycliste_azucb,-0.5,24,femme,7.23508837251,16.7382261579,0.5
cycliste_azodx,2,35,homme,4.50140391443,28.1079509269,0.5
cycliste_azsdl,6,34,femme,10.2026420021,28.643254199,0.5
cycliste_azsfn,6,65,femme,12.6573181415,21.2845519268,0.5
cycliste_azeq6,-0.5,70,homme,2.51829368289,14.7450057931,0.5
cycliste_azro4,-0.5,80,homme,15.5471922164,16.4464806901,0.5
cycliste_azrob,4,57,homme,9.20489335903,18.1999117895,0.5
cycliste_azy58,6,52,homme,5.67326580424,20.1610696343,0.5
cycliste_aztgx,2,17,homme,5.094595372,27.2530977009,0.5
cycliste_azehw,-0.5,30,homme,8.91865262604,29.1962797959,0.5
cycliste_azty6,2,72,femme,4.61671803831,15.7751032684,0.5
cycliste_aztx5,6,58,femme,6.91287056719,9.74998486288,0.5
cycliste_azt48,6,30,femme,9.27044062743,22.1449247899,0.5
cycliste_azes9,6,40,homme,5.58805518374,30.0039644859,0.5
cycliste_azuhl,-0.5,57,femme,5.69019656585,7.28405802063,0.5
cycliste_azywb,0,51,femme,10.8997469904,8.29569226267,0.5
cycliste_azrk3,0,23,femme,2.27210543805,21.9075066771,0.5
cycliste_azyi5,-0.5,63,homme,2.40033485538,13.3909135145,0.5
cycliste_azrcv,4,32,homme,5.06131305482,26.5196218772,0.5
cycliste_azom8,0,38,femme,7.35615665056,20.5082649532,0.5
cycliste_azeim,2,37,homme,2.81743259114,19.8555178407,0.5
cycliste_azeq5,6,29,homme,5.34850304974,26.7877909064,0.5
cycliste_aztyw,0,40,femme,14.4549021295,18.4001608838,0.5
cycliste_azpl9,4,69,femme,8.25931217029,11.5645654761,0.5
cycliste_azuon,0,22,femme,9.41168806412,19.9960428075,0.5
cycliste_azi49,4,20,homme,3.03309129906,27.4466520881,0.5
cycliste_aze30,2,35,femme,16.468068579,12.1017906089,0.5
cycliste_azyh0,-0.5,58,homme,0.168710985105,14.0391175622,0.5
cycliste_azuif,4,57,femme,16.4298766042,13.9886759536,0.5
cycliste_azim9,4,52,femme,13.759076685,19.3591618791,0.5
cycliste_azer1,0,38,femme,18.5270799269,11.3254257369,0.5
cycliste_azpxv,6,62,homme,10.4994328591,18.368573125,0.5
cycliste_azrl8,6,65,femme,3.23641130769,16.5843413217,0.5
cycliste_azpvb,4,16,femme,8.44051404201,23.9198007447,0.5
cycliste_azuj0,6,58,femme,13.2916017791,17.4725868048,0.5
cycliste_aztm1,0,76,femme,10.9045482633,11.4993955666,0.5
cycliste_azpm1,4,35,homme,4.46646518617,24.4252508433,0.5
cycliste_azrpw,2,47,femme,8.52240297434,16.474437596,0.5
cycliste_azqm6,6,45,femme,10.7554304074,23.663737426,0.5
cycliste_azik3,-0.5,69,femme,9.26212134135,9.1335684971,0.5
cycliste_azufg,0,71,homme,4.70811493577,8.94574138012,0.5
cycliste_azeyx,4,18,femme,10.5965840551,23.7803971489,0.5
cycliste_azupm,4,60,femme,10.732575177,16.4074008806,0.5
cycliste_azyif,6,42,femme,17.4419412819,17.5219090837,0.5
cycliste_azo78,4,17,homme,7.09038809866,31.2352310784,0.5
cycliste_azeow,4,63,femme,15.9667589626,14.3259244024,0.5
cycliste_aziod,2,66,femme,10.1505329424,8.27220610509,0.5
cycliste_azow9,2,37,homme,7.80526914257,28.7787981544,0.5
cycliste_aztpw,-0.5,52,homme,14.222890333,14.1199275451,0.5
cycliste_azodl,4,64,homme,4.09585177357,17.265859798,0.5
cycliste_azyq3,2,17,homme,12.2824070383,21.9490332209,0.5
cycliste_azqdw,-0.5,50,homme,7.99636640463,20.7369610404,0.5
cycliste_azup3,6,43,femme,5.86425536704,25.2712864028,0.5
cycliste_aziwc,-0.5,32,femme,6.10473631583,16.3857495694,0.5
cycliste_azpq1,-0.5,58,homme,4.30923120589,16.6745106208,0.5
cycliste_azul1,4,15,homme,10.9883048588,30.3583160151,0.5
cycliste_azqk7,4,77,homme,14.0791794316,20.8100462675,0.5
cycliste_azus2,2,55,homme,11.1519649632,10.641230655,0.5
cycliste_azujk,6,38,femme,7.92006726161,18.0996962918,0.5
cycliste_azpj8,2,59,femme,15.0743442617,17.5625912033,0.5
cycliste_azyd3,0,65,femme,13.3272678636,9.98549312166,0.5
cycliste_azug4,4,18,femme,8.12446578097,21.6488674935,0.5
cycliste_azqc0,-0.5,35,homme,4.27330034992,16.4109568074,0.5
cycliste_azu19,6,32,femme,5.11116195238,28.7634944873,0.5
cycliste_azyg4,-0.5,24,femme,13.6122457883,17.9487756507,0.5
cycliste_azp19,2,55,homme,4.22636961918,17.3499736882,0.5
cycliste_aztp2,0,40,femme,9.57218602807,18.1379065476,0.5
cycliste_aztdl,6,41,homme,9.08687182319,19.1501560076,0.5
cycliste_azql3,2,72,homme,9.6984357445,19.9470712174,0.5
cycliste_azipm,0,51,femme,7.87061530293,11.1516818347,0.5
cycliste_azeob,4,49,femme,3.29261882506,19.6559468594,0.5
cycliste_azqdm,4,16,femme,9.62325291395,21.8451950251,0.5
cycliste_azety,-0.5,31,homme,4.78622930139,25.7588704719,0.5
cycliste_azpf9,2,61,femme,5.38804808148,12.2494640612,0.5
cycliste_azq89,4,29,femme,13.0559545604,20.233153146,0.5
cycliste_azuf2,2,63,homme,3.37379092419,25.3268089375,0.5
cycliste_azy45,4,40,homme,12.5810965591,21.3824139194,0.5
cycliste_azuv6,-0.5,30,femme,11.7064642614,16.7382577262,0.5
cycliste_azydj,6,58,homme,6.53147401073,13.3093713749,0.5
cycliste_azyq0,-0.5,62,homme,4.66232108453,13.8324794666,0.5
cycliste_aze67,6,56,homme,5.87713277358,23.3279110538,0.5
cycliste_azecb,6,45,femme,6.38879780655,20.9963049522,0.5
cycliste_azisx,4,67,femme,14.4426647381,13.5296254741,0.5
cycliste_azuj7,4,35,homme,13.9547651121,31.2764454531,0.5
cycliste_azefg,2,27,homme,3.37179062224,24.3092547217,0.5
cycliste_azru8,4,55,homme,0.720305289155,14.647770274,0.5
cycliste_azt68,4,41,femme,12.8706432467,14.9562079604,0.5
cycliste_azimx,0,46,femme,9.81280478713,11.8195891253,0.5
cycliste_azew0,2,41,homme,12.499010168,23.5161422406,0.5
cycliste_azqj6,6,54,homme,12.1563526305,18.7065954763,0.5
cycliste_azpc2,2,23,femme,18.4534086673,16.9303434369,0.5
cycliste_azysh,0,67,homme,11.9539828216,19.301457864,0.5
cycliste_azeh0,4,65,homme,9.1137415173,20.5126442056,0.5
cycliste_azuik,0,43,femme,18.1491475319,15.6174779141,0.5
cycliste_azrqm,-0.5,60,homme,7.87096674117,13.3569172538,0.5
cycliste_aztoh,-0.5,36,femme,6.53950229586,18.5468848889,0.5
cycliste_azrdv,-0.5,18,homme,10.6661395937,32.1705037089,0.5
cycliste_azpfx,0,72,femme,11.1871899628,11.8509102838,0.5
cycliste_azrtc,4,57,femme,18.0010460173,18.6015850392,0.5
cycliste_azuj1,4,42,femme,11.9520153253,24.4081106861,0.5
cycliste_azypm,4,46,femme,16.0556625629,22.5524370415,0.5
cycliste_azeyg,-0.5,71,femme,12.7105720941,9.16330251397,0.5
cycliste_aztfv,0,52,femme,3.29590689192,7.81754482775,0.5
cycliste_aztu8,4,15,homme,4.81531913984,23.0337985244,0.5
cycliste_azel0,-0.5,49,homme,11.7093658436,20.5766032828,0.5
cycliste_azi39,6,56,femme,18.1260423244,18.9679413515,0.5
cycliste_azec6,-0.5,53,femme,8.64563871699,7.21511294428,0.5
cycliste_azif1,6,16,homme,8.46651440939,34.1950094476,0.5
cycliste_azo69,0,63,femme,16.5714749833,6.69020030675,0.5
cycliste_azyh4,-0.5,66,homme,3.4870384235,11.7478468299,0.5
cycliste_azygh,-0.5,65,homme,2.32863215742,19.3459148989,0.5
cycliste_azexv,-0.5,40,homme,4.98998362943,18.1943538617,0.5
cycliste_azqn1,0,30,femme,14.213697009,22.2530321072,0.5
cycliste_azux6,4,67,homme,11.9549045014,7.91902640284,0.5
cycliste_azr57,6,35,homme,6.84335799585,32.7850489496,0.5
cycliste_aztpk,6,34,femme,8.3883088092,23.0143306767,0.5
cycliste_azsf1,0,45,femme,13.283248906,19.1286317278,0.5
cycliste_azux3,0,79,homme,10.5489434289,5.69032646591,0.5
cycliste_aztoc,6,61,homme,7.63587823262,20.2721517084,0.5
cycliste_azij9,4,55,femme,13.5957048473,15.813083767,0.5
cycliste_azydc,-0.5,66,femme,10.7144673222,13.216073504,0.5
cycliste_azyhb,2,21,femme,9.11592308846,18.1799135559,0.5
cycliste_azy39,-0.5,71,homme,-0.321217231929,17.1257365719,0.5
cycliste_azin2,0,61,homme,1.9178366958,5.86129351168,0.5
cycliste_azrkc,6,43,femme,6.65316722636,22.8840010545,0.5
cycliste_azqcv,4,29,homme,9.50045843872,29.93173503,0.5
cycliste_aze10,2,77,femme,8.55470669961,7.17335280185,0.5
cycliste_azuq5,4,30,femme,9.23235203218,19.1964739613,0.5
cycliste_azr68,6,50,femme,16.2069278544,17.1287685541,0.5
cycliste_azpq6,2,78,femme,11.8060288342,15.4921195703,0.5
cycliste_azq19,0,44,homme,11.1143830188,16.6253677586,0.5
cycliste_azudw,-0.5,36,homme,9.82815606615,21.6227637554,0.5
cycliste_azey3,0,36,femme,11.9853561104,18.02939969,0.5
cycliste_azy19,4,32,femme,13.7339118511,21.451618398,0.5
cycliste_azpdj,4,43,femme,8.64100751656,19.2185630115,0.5
cycliste_azu68,6,20,homme,5.86381706038,27.0161215755,0.5
cycliste_azuq2,4,45,femme,10.6081853285,19.7415029196,0.5
cycliste_azrg0,2,37,femme,9.54046227172,17.3629842916,0.5
cycliste_aztfc,-0.5,22,femme,11.4150843634,19.7902875063,0.5
cycliste_azrb8,2,75,homme,9.75188456173,19.3630360642,0.5
cycliste_azedn,0,41,homme,-0.792768646051,20.7962360942,0.5
cycliste_azopd,2,42,homme,5.94129791436,25.8200864799,0.5
cycliste_azeu7,2,33,femme,11.5218487596,22.5494426499,0.5
cycliste_azom9,6,24,femme,6.46181043617,20.8687963298,0.5
cycliste_aztd3,4,63,femme,17.3953736843,16.6270144495,0.5
cycliste_aztoq,4,70,femme,8.27790463782,13.3042422299,0.5
cycliste_aztjl,0,75,femme,12.2830837446,8.5647459911,0.5
cycliste_azrmn,0,28,femme,17.0852118092,18.0221630606,0.5
cycliste_azrkm,-0.5,50,homme,12.3829785091,23.0288369875,0.5
cycliste_azuw5,4,17,homme,6.1766919784,29.466685558,0.5
cycliste_azqf3,0,36,homme,7.94360173815,17.1143040582,0.5
cycliste_azix9,-0.5,41,femme,12.1505149939,16.6933014039,0.5
cycliste_azqc6,-0.5,67,femme,14.4085616876,15.7837792887,0.5
cycliste_azyw9,2,47,femme,12.1111131959,18.3091829164,0.5
cycliste_azei1,0,74,femme,8.15746250978,9.52276556001,0.5
cycliste_azpb8,0,31,femme,15.2829624836,17.4716996146,0.5
cycliste_azetx,4,56,femme,2.12002872493,13.5221131771,0.5
cycliste_azrt8,6,59,homme,8.44601739984,16.1913066081,0.5
cycliste_azqhl,2,40,homme,6.16253991649,28.2212609587,0.5
cycliste_azui1,4,16,homme,4.4723964565,27.9398223712,0.5
cycliste_azof7,6,31,homme,10.1028758723,30.7723019244,0.5
cycliste_azox6,6,46,homme,5.32547782964,26.2334955639,0.5
cycliste_azufh,4,44,femme,3.85515641917,16.452430558,0.5
cycliste_azim5,-0.5,37,femme,8.74366328814,18.567730352,0.5
cycliste_azth8,6,58,femme,10.1182917305,20.2069880241,0.5
cycliste_azr28,0,61,homme,5.87805515748,17.4625511589,0.5
cycliste_azuv0,0,45,homme,4.79487107355,20.3188264829,0.5
cycliste_azpn8,-0.5,18,homme,1.25028871802,22.3197104212,0.5
cycliste_azoc6,4,78,homme,9.14657885704,19.7509785178,0.5
cycliste_azyl0,-0.5,15,femme,10.6867845645,15.7399673984,0.5
cycliste_azrfm,0,77,femme,13.0698231176,14.3525594284,0.5
cycliste_aziph,0,16,femme,11.0352536194,15.8774817166,0.5
cycliste_azi69,0,26,homme,8.92455933644,28.0819134651,0.5
cycliste_azt37,2,35,femme,7.27298340682,15.7033485775,0.5
cycliste_aztn8,2,22,femme,7.70502322365,23.5249783021,0.5
cycliste_azyu9,6,17,homme,4.29538789888,37.5369935301,0.5
cycliste_azipg,6,15,femme,10.6402504174,23.4107323656,0.5
cycliste_azokm,4,38,femme,14.8572381685,14.0303756765,0.5
cycliste_azpqb,-0.5,52,femme,8.27882203236,10.1354051434,0.5
cycliste_azqk5,0,67,femme,15.60416383,9.33764297044,0.5
cycliste_azpwb,2,47,femme,14.8206746879,20.711309566,0.5
cycliste_azql7,0,37,homme,4.86516217286,23.3877311556,0.5
cycliste_azpvn,0,17,homme,17.7681491773,10.6323295311,0.5
cycliste_azomv,-0.5,73,femme,3.04950085631,10.7775800324,0.5
cycliste_azpln,-0.5,35,homme,6.04762439571,13.4339304501,0.5
cycliste_azqsw,-0.5,59,femme,13.6103667074,9.18311070524,0.5
cycliste_azyul,-0.5,75,femme,9.22055429207,7.59392944498,0.5
cycliste_azyuw,4,31,homme,5.48996311222,25.8885581425,0.5
cycliste_azpf5,-0.5,21,femme,11.190634951,17.3076343581,0.5
cycliste_azrow,0,51,homme,9.35293676285,19.500690612,0.5
cycliste_azuj9,-0.5,40,femme,15.188668421,10.2940735587,0.5
cycliste_azu20,4,40,homme,7.6000275115,23.9251164158,0.5
cycliste_aztm8,0,19,femme,6.11042167351,17.6227278745,0.5
cycliste_azofk,4,67,homme,9.65256042535,23.9423516278,0.5
cycliste_azpqj,2,23,femme,7.74208055444,22.9231577756,0.5
cycliste_azypw,0,53,homme,-1.14975592475,19.6295131693,0.5
cycliste_azi36,4,59,femme,6.83686395836,14.1064153104,0.5
cycliste_aztmc,-0.5,73,homme,12.4618917224,5.51774323035,0.5
cycliste_azrsb,6,79,homme,10.0018286259,25.525526169,0.5
cycliste_azobn,-0.5,39,homme,5.32365220832,23.9633602482,0.5
cycliste_azeui,4,28,femme,5.47993556185,18.4385589894,0.5
cycliste_aztgj,-0.5,42,homme,4.7500581319,17.4141243959,0.5
cycliste_aztjb,-0.5,48,femme,7.9847173113,14.0027749532,0.5
cycliste_azsdm,4,27,homme,8.82103421377,26.4475113206,0.5
cycliste_azesc,4,61,homme,5.87158772984,25.660244042,0.5
cycliste_azepb,2,26,femme,6.53977574109,16.458958759,0.5
cycliste_azyuf,0,25,femme,5.95283679021,22.1223556115,0.5
cycliste_azt80,-0.5,67,femme,4.16882853119,3.77113560428,0.5
cycliste_azepd,0,22,homme,5.53948148646,25.7065155418,0.5
cycliste_azr46,-0.5,26,homme,9.88645195911,24.0651766358,0.5
cycliste_azem6,6,35,femme,9.75872557816,20.7244330702,0.5
cycliste_azic7,2,78,femme,9.16940457122,13.8345196776,0.5
cycliste_azy50,-0.5,43,homme,5.52209030578,26.8369704656,0.5
cycliste_azeq3,4,73,femme,11.0505319407,19.0914037542,0.5
cycliste_azes3,6,62,femme,7.22094632888,17.9073709076,0.5
cycliste_aztm6,0,80,femme,19.6408878713,14.2193012342,0.5
cycliste_aztij,0,19,femme,9.36157823932,20.2225226484,0.5
cycliste_azuw3,4,17,femme,4.67727051816,22.0913898085,0.5
cycliste_azpw6,0,78,homme,3.09377406742,11.6565042224,0.5
cycliste_azudm,0,34,homme,1.75539754226,21.5176401159,0.5
cycliste_azijv,4,56,homme,5.83591420642,23.8266933038,0.5
cycliste_azeq7,6,75,femme,10.0638383895,15.1910855698,0.5
cycliste_azop1,-0.5,44,homme,3.25512519422,22.5963951025,0.5
cycliste_azrqn,0,27,femme,5.73928021767,19.7244931774,0.5
cycliste_aztfb,6,41,femme,11.097281571,24.0283605898,0.5
cycliste_aze12,4,74,femme,7.55671016715,12.9830366348,0.5
cycliste_azidc,0,41,femme,6.79108665807,12.5083951847,0.5
cycliste_aztqc,0,48,femme,16.4821911454,16.1569037226,0.5
cycliste_aztdf,4,64,femme,9.21780508449,21.4724309475,0.5
cycliste_aztg1,2,66,homme,13.8523448665,15.2284119444,0.5
cycliste_azekl,2,55,femme,14.3244195268,14.4306386634,0.5
cycliste_azif9,-0.5,59,femme,3.87409016804,10.1998201256,0.5
cycliste_aztfj,6,37,femme,8.3408676514,21.232690415,0.5
cycliste_azoxc,6,65,femme,17.4507017444,17.9533593696,0.5
cycliste_azuom,4,22,femme,11.7419077559,22.2839634336,0.5
cycliste_azpv8,2,38,femme,13.5294685703,19.0106025268,0.5
cycliste_aztux,2,76,femme,9.90183477131,12.4492697268,0.5
cycliste_azrc3,0,69,homme,12.3630512356,16.9821647093,0.5
cycliste_azyj9,6,16,femme,9.49685900375,24.0681018606,0.5
cycliste_aztwn,4,66,femme,15.1889169694,12.5990207129,0.5
cycliste_azryk,0,54,homme,4.1743718325,16.7861560968,0.5
cycliste_azok4,-0.5,69,femme,12.6057376324,7.21618168427,0.5
cycliste_aztus,2,73,femme,9.52495577088,13.3546812637,0.5
cycliste_azo48,6,58,homme,6.62398120775,15.1433702073,0.5
cycliste_azpkv,-0.5,75,femme,4.6831839617,14.0366763695,0.5
cycliste_azpd7,0,30,femme,15.2552834778,17.3919312656,0.5
cycliste_aziog,-0.5,50,femme,12.4663564414,8.25540842541,0.5
cycliste_azeh5,2,59,femme,12.6173414416,16.2870698553,0.5
cycliste_azyis,2,68,homme,3.22657631498,18.5140703799,0.5
cycliste_azetb,-0.5,26,femme,6.42285076979,17.3425012355,0.5
cycliste_azts1,6,24,homme,8.585076471,29.1811888178,0.5
cycliste_azu67,2,24,homme,3.39735335098,20.1605480299,0.5
cycliste_azuol,2,36,femme,14.9474915474,19.1728306089,0.5
cycliste_azoqv,2,21,homme,7.23401393531,28.0308097281,0.5
cycliste_aztg5,0,43,homme,5.43507954734,21.1072285936,0.5
cycliste_azohc,2,56,femme,10.7842854044,9.84147831597,0.5
cycliste_azeul,2,70,homme,9.35023867229,16.3087128173,0.5
cycliste_azrqc,4,26,homme,8.29796872656,28.8864869442,0.5
cycliste_azo59,2,24,homme,-2.10940923873,24.2257390726,0.5
cycliste_aztig,-0.5,56,homme,5.60173447295,9.6683838071,0.5
cycliste_azsdn,-0.5,44,homme,2.27419659549,13.5311339908,0.5
cycliste_azil6,-0.5,32,homme,9.48547262877,25.3356072625,0.5
cycliste_azpfm,6,51,femme,6.86028416928,9.61623965051,0.5
cycliste_azqk1,2,57,femme,13.4694619427,14.3441473834,0.5
cycliste_azek5,4,35,homme,2.14819474568,17.6436186606,0.5
cycliste_azpv5,6,43,femme,7.05232485888,19.2732569433,0.5
cycliste_azuhw,0,40,homme,4.1739272372,18.2952217596,0.5
cycliste_azic3,6,66,femme,14.2799656044,17.89045468,0.5
cycliste_azewv,6,67,homme,5.63314079462,17.6542656361,0.5
cycliste_azey8,4,59,femme,11.8399568892,18.172209731,0.5
cycliste_azop3,-0.5,62,homme,3.93610903955,15.0174999157,0.5
cycliste_aziqk,2,52,homme,6.54875053231,17.0437007669,0.5
cycliste_aze69,-0.5,69,homme,7.7708912239,8.12644882911,0.5
cycliste_azrtj,4,43,femme,10.0926040114,19.0438668863,0.5
cycliste_azt78,-0.5,79,homme,3.31190564768,19.1739027788,0.5
cycliste_azqhk,2,15,homme,17.075787896,23.1622167658,0.5
cycliste_azyj5,2,28,homme,11.482528551,28.4864149604,0.5
cycliste_azpx4,-0.5,26,homme,8.26150830901,26.4373671523,0.5
cycliste_azuov,2,19,homme,14.2461200412,20.8422652314,0.5
cycliste_azol6,2,69,femme,12.3991389734,12.7861559042,0.5
